_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
280.2287806,-48.689436,235,J0303.7-6211,0,Y,PKS 0302-623,45.96096,-62.19043,0.015,0.058,fsrq,LSP,12.55,12.921,1.351,1.0,0.973,0.825,0.592,2456.0,S,11.3,18.492,,0.84,1.01,Simbad
223.5319082,-60.6929728,236,J0304.3-2836,0,Y,RBS 0385,46.06782,-28.53911,0.071,0.078,bll,-,,,,0.989,0.0,0.846,,8.33,N,49.5,,,,,Simbad
200.3613782,-57.1422734,237,J0305.2-1607,0,Y,PKS 0302-16,46.31371,-16.13752,0.02,0.074,bcu II,HSP,15.57,15.57,,0.0,0.942,0.0,-0.425,917.68,N,,18.194,,0.62,1.17,Simbad
174.8580867,-44.5133765,238,J0308.6+0408,0,Y,NGC 1218,47.10927,4.11092,0.054,0.069,rdg,ISP,14.765,14.765,0.02865,0.999,0.975,0.892,,5748.3,N,75.3,8.46,,0.03,2.44,Simbad
169.1791632,-39.7189955,239,J0309.0+1029,0,Y,PKS 0306+102,47.2651,10.48787,0.012,0.034,fsrq,LSP,12.865,13.135,0.863,1.0,0.95,0.891,0.048,505.95,N,15.0,,,,,Simbad
188.7755972,-51.9599633,240,J0309.5-0749,0,Y,NVSS J030943-074427,47.43017,-7.74097,0.09,0.086,bll,HSP,15.45,15.45,,0.935,0.0,0.0,,82.18,N,,16.965,16.8,0.39,1.34,Simbad
278.1175102,-48.9411835,241,J0309.9-6057,0,Y,PKS 0308-611,47.48375,-60.97752,0.015,0.044,fsrq,LSP,12.56,12.954,1.48,1.0,0.959,0.0,0.711,992.5,S,5.06,18.446,,0.77,1.15,Simbad
263.613459,-54.8705611,242,J0310.4-5015,0,Y,1RXS J031036.0-501615,47.64467,-50.27531,0.024,0.051,bcu II,HSP,16.25,16.25,,0.998,0.0,0.0,-0.401,12.6,S,3.99,18.594,,0.35,1.31,Simbad
150.9072075,-16.9364239,243,J0310.8+3814,0,Y,B3 0307+380,47.70783,38.24829,0.011,0.092,fsrq,LSP,13.04,13.299,0.945,0.998,0.866,0.0,0.68,237.04,N,,19.565,17.62,0.59,1.3,Simbad
178.5104847,-45.5214802,244,J0312.7+0133,0,Y,PKS 0310+013,48.18168,1.55488,0.013,0.059,fsrq,LSP,13.145,13.366,0.664,0.999,0.928,0.0,0.478,459.67,N,,18.12,18.53,0.73,1.42,Simbad
152.3841647,-18.402931,245,J0312.7+3613,0,Y,V Zw326,48.20953,36.25543,0.027,0.063,bll,HSP,15.8,15.83,0.071,1.0,0.853,0.903,-0.916,117.68,N,55.6,14.812,,0.22,1.46,Simbad
264.3356083,-53.9564702,246,J0314.3-5103,0,Y,PMN J0314-5104,48.6071,-51.07543,0.023,0.066,bll,LSP,13.94,13.94,,0.999,0.823,0.0,,102.9,S,,19.045,,0.67,,Simbad
193.9407544,-52.1912795,247,J0315.5-1026,0,Y,PKS 0313-107,48.98697,-10.5276,0.126,0.14,fsrq,LSP,12.83,13.239,1.565,0.977,0.8,0.0,1.127,335.21,N,,19.951,,0.8,1.17,Simbad
172.1049291,-39.5905012,248,J0316.1+0904,0,Y,GB6 J0316+0904,49.05305,9.07869,0.011,0.028,bll,ISP,14.765,14.765,0.372,1.0,0.884,0.952,-0.382,55.49,N,72.8,17.344,,0.36,1.12,Simbad
219.5645597,-57.7347099,249,J0316.1-2611,0,Y,RBS 0405,49.06225,-26.1326,0.062,0.049,bll,HSP,15.985,16.144,0.443,0.936,0.0,0.838,-0.675,21.72,N,53.7,18.27,,0.4,0.85,Simbad
281.5504825,-46.0345925,250,J0316.2-6436,0,Y,SUMSS J031614-643732,49.05976,-64.62539,0.019,0.055,bll,HSP,16.085,16.085,,1.0,0.0,0.0,,17.8,S,,17.289,,0.28,1.15,Simbad
