_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
309.0494985,-4.5362687,120,J1353.5-6640,0,1RXS J135341.1-664002,208.41726,-66.66602,0.011,0.037,bll,HSP,15.7,15.7,,1.0,,0.963,NED,,,,Simbad
312.5359548,5.4927839,121,J1400.7-5605,0,PMN J1400-5605,210.17407,-56.0821,0.009,0.121,bcu II,LSP,12.28,12.28,,0.997,,,NED,,,,Simbad
311.3240599,-3.8142684,122,J1413.2-6518,0,Circinus galaxy,213.29172,-65.34571,0.043,0.119,sy,HSP,15.44,15.44,,0.988,,0.886,NED,,,,Simbad
316.4693853,8.6233976,123,J1419.1-5156,0,PMN J1419-5155,214.89685,-51.91627,0.079,0.143,bcu II,LSP,12.55,12.55,,0.993,0.921,,NED,,,,Simbad
311.4898196,-6.8281763,124,J1424.6-6807,0,PKS 1420-679,216.23149,-68.1328,0.027,0.059,bcu II,LSP,12.48,12.48,,1.0,1.0,,NED,,,,Simbad
316.6220831,-5.1344203,125,J1503.7-6426,0,AT20G J150350-642539,225.95892,-64.42764,0.025,0.046,bcu II,LSP,13.285,13.285,,0.997,,,NED,,,,Simbad
324.4009084,7.1809242,126,J1508.7-4956,0,PMN J1508-4953,227.16227,-49.88398,0.051,0.087,bcu II,LSP,11.78,11.78,,0.999,0.956,,NED,,,,Simbad
326.3379792,8.4480028,127,J1514.5-4750,0,PMN J1514-4748,228.66677,-47.80829,0.032,0.063,fsrq,LSP,12.515,12.922,1.5512,0.999,0.963,,NED,,,,Simbad
321.5456787,-1.8500191,128,J1525.2-5905,0,PMN J1524-5903,231.21301,-59.06103,0.06,0.206,bcu II,LSP,12.655,12.655,,0.986,0.848,,NED,,,,Simbad
321.4256221,-8.6307064,129,J1558.9-6432,0,PMN J1558-6432,239.70952,-64.54157,0.012,0.03,bll,HSP,15.3,15.333,0.07958,1.0,0.977,0.937,NED,,,,Simbad
325.7421565,-3.9355267,130,J1600.3-5810,0,MRC 1556-580,240.05157,-58.18416,0.02,0.078,bcu III,-,,,,0.998,0.952,,NED,,,,Simbad
332.1508882,2.5733813,131,J1603.9-4903,0,PMN J1603-4904,240.96119,-49.0682,0.012,0.014,bll,ISP,14.615,14.615,,1.0,0.988,,NED,,,,Simbad
335.1557573,5.7645107,132,J1604.4-4442,0,PMN J1604-4441,241.12925,-44.69221,0.027,0.038,bcu I,LSP,12.947,12.947,,0.999,1.0,,NED,,,,Simbad
339.1705589,8.4988075,133,J1610.6-3956,0,PMN J1610-3958,242.59116,-39.98287,0.061,0.183,fsrq,LSP,13.088,13.269,0.518,0.999,0.868,,NED,,,,Simbad
326.9703727,-5.9025345,134,J1617.4-5846,0,MRC 1613-586,244.32455,-58.80218,0.041,0.073,fsrq,LSP,12.55,12.55,1.422,0.996,1.0,0.844,NED,,,,Simbad
346.7506607,8.1514862,135,J1637.6-3449,0,NVSS J163750-344915,249.46249,-34.82098,0.039,0.042,bcu II,LSP,13.0,13.0,,0.983,0.843,0.879,NED,,,,Simbad
330.176046,-7.949541,136,J1645.2-5747,0,AT20G J164513-575122,251.30595,-57.85622,0.067,0.109,bcu III,-,,,,0.979,,,NED,,,,Simbad
337.7618504,-2.298155,137,J1648.5-4829,0,PMN J1648-4826,252.19968,-48.43856,0.064,0.139,bcu III,-,,,,0.993,,,NED,,,,Simbad
336.1395857,-3.9598687,138,J1650.2-5044,0,PMN J1650-5044,252.56928,-50.74673,0.004,0.023,bcu I,LSP,12.725,12.725,,1.0,1.0,,NED,,,,Simbad
350.5995923,6.357063,139,J1656.2-3303,0,Swift J1656.3-3302,254.07025,-33.03633,0.016,0.118,fsrq,LSP,12.648,13.179,2.4,1.0,0.883,,NED,,,,Simbad
352.2707696,6.7050737,140,J1659.7-3132,0,NVSS J165949-313047,254.95383,-31.51325,0.036,0.09,bcu II,LSP,13.11,13.11,,0.998,0.858,,NED,,,,Simbad
338.4408049,-6.4804481,141,J1711.5-5029,0,PMN J1711-5028,257.9208,-50.4715,0.023,0.079,bcu II,LSP,13.39,13.39,,0.997,,,NED,,,,Simbad
337.7762015,-8.0717249,142,J1717.4-5157,0,PMN J1717-5155,259.39455,-51.92553,0.044,0.076,fsrq,LSP,12.836,13.17,1.158,0.99,,,NED,,,,Simbad
352.7350133,2.3921685,143,J1717.8-3342,0,TXS 1714-336,259.40012,-33.70245,0.042,0.036,bll,LSP,12.865,12.865,,1.0,0.922,,NED,,,,Simbad
355.0595448,3.8983142,144,J1718.1-3056,0,PMN J1718-3056,259.52173,-30.93753,0.007,0.062,bcu III,-,,,,0.998,0.88,,NED,,,,Simbad
357.4482535,1.9503558,145,J1731.8-3001,0,NVSS J173146-300309,262.94538,-30.05255,0.035,0.035,bll,-,,,,0.994,0.841,,NED,,,,Simbad
2.3855298,2.4355693,146,J1741.9-2539,0,NVSS J174154-253743,265.47687,-25.62872,0.034,0.044,bcu III,-,,,,0.994,0.813,,NED,,,,Simbad
9.7683014,6.0862584,147,J1744.9-1725,0,1RXS J174459.5-172640,266.24914,-17.44348,0.011,0.037,bcu III,-,,,,,0.837,0.963,NED,,,,Simbad
352.4511151,-8.4253213,148,J1802.6-3940,0,PMN J1802-3940,270.67783,-39.66886,0.006,0.017,fsrq,LSP,12.445,12.81,1.319,1.0,0.985,,NED,,,,Simbad
